Hora,Altura del Oleaje (m),Dirección del Oleaje (°),Periodo del Oleaje (s)
2024-10-17T06:00,1.74,247,11.85
2024-10-17T07:00,1.9,247,11.9
2024-10-17T08:00,2.08,247,11.95
2024-10-17T09:00,2.24,247,11.95
2024-10-17T10:00,2.3,247,11.95
2024-10-17T11:00,2.38,248,11.95
2024-10-17T12:00,2.44,248,11.9
2024-10-17T13:00,2.48,248,11.85
2024-10-17T14:00,2.5,248,11.8
2024-10-17T15:00,2.54,248,11.7
2024-10-17T16:00,2.56,248,11.5
2024-10-17T17:00,2.6,247,11.25
2024-10-17T18:00,2.62,247,11.05
2024-10-17T19:00,2.62,247,10.95
2024-10-17T20:00,2.64,247,10.85
2024-10-17T21:00,2.64,247,10.8
2024-10-17T22:00,2.64,247,10.75
2024-10-17T23:00,2.64,247,10.7
