17-10-2024 06:00,INCHCAPE,CRUX LEADER,"199,94",DP World,MUELLAJE PCE,Fraccionada,Automotores,1310 un,DESEMBARQUE
17-10-2024 12:00,IAN TAYLOR,CMA CGM NEVA,"195,00",DP World,MUELLAJE PCE,Contenedores,Contenedores,540 un,DESEMBARQUE
,,,,,MUELLAJE PCE,Contenedores,Contenedores,480 un,EMBARQUE
17-10-2024 14:00,B&M,PROPEL GRACE,"199,98",PANUL,PUERTO PANUL,Granel sólido,Maiz,34500 tons,DESEMBARQUE
18-10-2024 06:00,IAN TAYLOR,MAERSK REDWOOD,"200,00",STI,STI,Contenedores,Contenedores,500 un,DESEMBARQUE
,,,,,STI,Contenedores,Contenedores,400 un,EMBARQUE
18-10-2024 06:00,AGUNSA,JIUYANG BLOSSOM,"199,90",DP World,MUELLAJE PCE,Fraccionada,Automotores,1500 un,DESEMBARQUE
22-09-2024 02:00,ULTRAMAR,BUNUN XCEL,"179,99",DP World,MUELLAJE PCE,Granel sólido,Clinker,36000 tons,DESEMBARQUE
28-09-2024 09:18,ULTRAMAR,DARYA TIANA,"199,90",PANUL,PUERTO PANUL,Granel sólido,Maiz,54624 tons,DESEMBARQUE
07-10-2024 22:00,B&M,BIRTE SELMER,"180,00",PANUL,PUERTO PANUL,Granel sólido,Maiz,19698 tons,DESEMBARQUE
,,,,,PUERTO PANUL,Granel sólido,Soya,5400 tons,DESEMBARQUE
,,,,,PUERTO PANUL,Granel sólido,Otro,1800 tons,DESEMBARQUE
08-10-2024 12:40,ULTRAMAR,PACIFIC WIND,"199,92",PANUL,PUERTO PANUL,Granel sólido,Soya,36650 tons,DESEMBARQUE
09-10-2024 14:20,MSC,MSC VICTORIA,"363,79",STI,MUELLAJE STI,Contenedores,Contenedores,2700 un,DESEMBARQUE
,,,,,MUELLAJE STI,Contenedores,Contenedores,1800 un,EMBARQUE
10-10-2024 03:30,ULTRAMAR,SEASPAN HAMBURG,"259,80",STI,MUELLAJE STI,Contenedores,Contenedores,400 un,EMBARQUE
,,,,,MUELLAJE STI,Contenedores,Contenedores,600 un,DESEMBARQUE
10-10-2024 10:00,IAN TAYLOR,CAPE SCOTT,"188,80",DP World,MUELLAJE PCE,Contenedores,Contenedores,1000 un,DESEMBARQUE
,,,,,MUELLAJE PCE,Contenedores,Contenedores,941 un,EMBARQUE
11-10-2024 08:00,ULTRAMAR,ALPACA,"174,40",STI,TERQUIM S.A.,Granel líquido,Granel líquido,32000 tons,EMBARQUE
11-10-2024 12:00,B&M,AMIS POWER,"199,90",PANUL,PUERTO PANUL,Granel sólido,Maiz,52800 tons,DESEMBARQUE
